t_s,j22,j23,j24,j25,j26,j27,j28,j12
4.500256,0.080139,-0.092602,-0.131611,1.291300,-0.458181,0.000000,0.000000,-0.041568
4.520194,0.080186,-0.092578,-0.131575,1.291240,-0.458205,0.000000,0.000000,-0.041542
4.540189,0.080174,-0.092578,-0.131587,1.291300,-0.458205,0.000000,0.000000,-0.041555
4.560087,0.080186,-0.092590,-0.131587,1.291288,-0.458181,0.000000,0.000000,-0.041542
4.580220,0.080186,-0.092578,-0.131551,1.291264,-0.458193,0.000000,0.000000,-0.041542
4.600098,0.080174,-0.092590,-0.131539,1.291276,-0.458193,0.000000,0.000000,-0.041555
4.620085,0.080174,-0.092578,-0.131563,1.291264,-0.458205,0.000000,0.000000,-0.041568
4.640089,0.080174,-0.092578,-0.131563,1.291288,-0.458193,0.000000,0.000000,-0.041582
4.660069,0.080210,-0.092590,-0.131575,1.291312,-0.458193,0.000000,0.000000,-0.041568
4.680071,0.080186,-0.092578,-0.131551,1.291288,-0.458181,0.000000,0.000000,-0.041568
4.700060,0.080174,-0.092590,-0.131563,1.291276,-0.458217,0.000000,0.000000,-0.041568
4.720061,0.080186,-0.092590,-0.131563,1.291276,-0.458217,0.000000,0.000000,-0.041568
4.740065,0.080174,-0.092590,-0.131575,1.291276,-0.458193,0.000000,0.000000,-0.041595
4.760066,0.080186,-0.092578,-0.131575,1.291288,-0.458181,0.000000,0.000000,-0.041555
4.780066,0.080174,-0.092578,-0.131563,1.291288,-0.458181,0.000000,0.000000,-0.041542
4.800058,0.080186,-0.092578,-0.131563,1.291288,-0.458193,0.000000,0.000000,-0.041568
4.820058,0.080186,-0.092602,-0.131575,1.291288,-0.458181,0.000000,0.000000,-0.041568
4.840060,0.080186,-0.092602,-0.131527,1.291300,-0.458181,0.000000,0.000000,-0.041568
4.860066,0.080174,-0.092554,-0.131515,1.291288,-0.458181,0.000000,0.000000,-0.041568
4.880067,0.080174,-0.092590,-0.131563,1.291264,-0.458193,0.000000,0.000000,-0.041568
4.900182,0.080150,-0.092590,-0.131539,1.291288,-0.458181,0.000000,0.000000,-0.041555
4.920061,0.080186,-0.092578,-0.131551,1.291276,-0.458193,0.000000,0.000000,-0.041568
4.940059,0.080186,-0.092578,-0.131527,1.291300,-0.458193,0.000000,0.000000,-0.041542
4.960258,0.080174,-0.092578,-0.131527,1.291276,-0.458205,0.000000,0.000000,-0.041555
4.980074,0.080186,-0.092554,-0.131527,1.291264,-0.458181,0.000000,0.000000,-0.041568
5.000142,0.080174,-0.092578,-0.131539,1.291276,-0.458181,0.000000,0.000000,-0.041542
5.020065,0.080186,-0.092578,-0.131515,1.291276,-0.458169,0.000000,0.000000,-0.041568
5.040064,0.080174,-0.092566,-0.131575,1.291264,-0.458193,0.000000,0.000000,-0.041568
5.060067,0.080174,-0.092578,-0.131575,1.291288,-0.458205,0.000000,0.000000,-0.041555
5.080066,0.080174,-0.092578,-0.131587,1.291288,-0.458205,0.000000,0.000000,-0.041568
5.100064,0.080186,-0.092578,-0.131527,1.291276,-0.458217,0.000000,0.000000,-0.041568
5.120062,0.080186,-0.092578,-0.131551,1.291300,-0.458193,0.000000,0.000000,-0.041568
5.140061,0.080174,-0.092554,-0.131575,1.291300,-0.458193,0.000000,0.000000,-0.041568
5.160063,0.080174,-0.092590,-0.131539,1.291264,-0.458193,0.000000,0.000000,-0.041555
5.180063,0.080174,-0.092590,-0.131575,1.291288,-0.458193,0.000000,0.000000,-0.041555
5.200063,0.080174,-0.092578,-0.131551,1.291252,-0.458181,0.000000,0.000000,-0.041555
5.220060,0.080186,-0.092554,-0.131515,1.291288,-0.458193,0.000000,0.000000,-0.041568
5.240060,0.080186,-0.092578,-0.131551,1.291264,-0.458193,0.000000,0.000000,-0.041542
5.260063,0.080174,-0.092554,-0.131563,1.291288,-0.458205,0.000000,0.000000,-0.041555
5.280065,0.080174,-0.092554,-0.131587,1.291264,-0.458193,0.000000,0.000000,-0.041568
5.300332,0.080186,-0.092578,-0.131551,1.291264,-0.458217,0.000000,0.000000,-0.041555
5.320231,0.080186,-0.092578,-0.131563,1.291288,-0.458217,0.000000,0.000000,-0.041568
5.340149,0.080210,-0.092602,-0.131575,1.291312,-0.458205,0.000000,0.000000,-0.041568
5.360261,0.080186,-0.092602,-0.131575,1.291288,-0.458181,0.000000,0.000000,-0.041568
5.380103,0.080150,-0.092590,-0.131551,1.291276,-0.458193,0.000000,0.000000,-0.041582
5.400142,0.080174,-0.092578,-0.131575,1.291264,-0.458217,0.000000,0.000000,-0.041555
5.420075,0.080174,-0.092578,-0.131563,1.291312,-0.458181,0.000000,0.000000,-0.041568
5.440077,0.080186,-0.092578,-0.131551,1.291276,-0.458193,0.000000,0.000000,-0.041542
5.460080,0.080174,-0.092590,-0.131551,1.291264,-0.458193,0.000000,0.000000,-0.041568
5.480078,0.080150,-0.092578,-0.131539,1.291276,-0.458181,0.000000,0.000000,-0.041568
5.500062,0.080150,-0.092578,-0.131563,1.291288,-0.458181,0.000000,0.000000,-0.041542
5.520061,0.080186,-0.092578,-0.131503,1.291288,-0.458193,0.000000,0.000000,-0.041568
5.540058,0.080174,-0.092554,-0.131551,1.291264,-0.458181,0.000000,0.000000,-0.041555
5.560068,0.080150,-0.092554,-0.131539,1.291264,-0.458193,0.000000,0.000000,-0.041568
5.580096,0.080150,-0.092578,-0.131491,1.291276,-0.458193,0.000000,0.000000,-0.041568
5.600350,0.080174,-0.092578,-0.131527,1.291264,-0.458181,0.000000,0.000000,-0.041568
5.620082,0.080150,-0.092578,-0.131563,1.291276,-0.458193,0.000000,0.000000,-0.041555
5.640228,0.080174,-0.092578,-0.131527,1.291276,-0.458181,0.000000,0.000000,-0.041568
